age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,existing_debt,num_credit_lines,loan_purpose,home_ownership,debt_to_income,default
60,63216.85,5.2,642,31595.33,48,4620.21,5,medical,MORTGAGE,0.573,0
52,,,607,7863.62,24,2285.27,6,debt_consolidation,MORTGAGE,0.154,0
54,77683.38,0.3,669,10804.1,24,6738.17,6,auto,OWN,0.226,0
52,83573.85,30.5,423,9677.01,36,7845.69,3,debt_consolidation,MORTGAGE,0.21,1
54,86082.35,4.2,678,24564.93,36,12448.36,2,debt_consolidation,MORTGAGE,0.43,0
46,60481.93,4.2,559,1124.09,12,5849.67,7,medical,MORTGAGE,0.115,1
56,42976.84,3.2,591,33241.22,36,7564.6,1,debt_consolidation,OWN,0.949,0
46,65813.93,0.6,614,5575.65,36,12410.93,10,debt_consolidation,OWN,0.273,0
34,38786.3,0.0,690,18212.73,24,138.78,5,debt_consolidation,RENT,0.473,0
32,85634.39,5.4,604,22388.31,12,3595.04,1,auto,MORTGAGE,0.303,1
53,43942.37,1.7,602,22595.74,24,7206.98,5,auto,OWN,0.678,0
22,40681.68,3.9,637,2422.64,60,9437.29,3,debt_consolidation,RENT,0.292,0
55,56622.94,14.9,538,21183.1,36,0.0,11,debt_consolidation,MORTGAGE,0.374,0
26,19281.78,1.1,552,14567.12,36,6900.55,3,home_improvement,MORTGAGE,1.113,1
44,49893.15,5.2,699,12667.87,60,1003.65,5,debt_consolidation,MORTGAGE,0.274,0
33,76268.73,5.2,627,14834.79,36,1971.64,2,auto,RENT,0.22,0
56,20248.46,7.3,745,7598.98,12,6093.78,5,small_business,RENT,0.676,0
45,29798.16,26.9,583,15817.12,48,3993.89,4,debt_consolidation,RENT,0.665,0
49,58984.56,4.6,674,17955.9,24,9144.38,3,debt_consolidation,RENT,0.459,0
57,15982.9,0.3,695,18143.03,36,507.35,1,debt_consolidation,MORTGAGE,1.167,0
22,46921.07,6.6,616,11406.46,60,12971.02,4,auto,MORTGAGE,0.52,0
49,35368.84,1.0,637,17963.03,48,10986.38,4,auto,RENT,0.819,0
27,50801.49,0.8,638,37872.07,24,4563.86,6,auto,MORTGAGE,0.835,1
59,19659.71,1.0,504,25347.44,48,10390.99,2,auto,MORTGAGE,1.818,1
55,48487.62,4.2,645,21062.73,48,0.0,1,medical,MORTGAGE,0.434,0
35,57651.0,0.9,682,17009.72,48,2632.93,7,auto,MORTGAGE,0.341,0
49,65563.21,8.8,685,20363.08,36,9431.6,4,medical,OWN,0.454,0
61,54009.41,8.3,766,13961.32,36,10093.6,5,medical,RENT,0.445,0
26,70612.11,1.7,791,23874.76,36,7591.86,4,medical,RENT,0.446,0
43,80875.85,20.3,543,21045.68,36,17308.63,4,auto,MORTGAGE,0.474,0
59,69506.37,,702,4673.93,24,7165.61,1,debt_consolidation,OWN,0.17,0
56,64944.73,0.9,735,7112.46,36,10682.98,0,debt_consolidation,RENT,0.274,0
55,42645.07,3.6,522,24474.92,60,0.0,6,education,MORTGAGE,0.574,1
52,97007.21,3.0,592,15416.18,48,0.0,3,medical,OWN,0.159,1
30,52944.45,22.5,744,18060.31,24,7831.89,4,debt_consolidation,OWN,0.489,0
35,75852.17,2.4,656,1000.0,36,12864.36,4,debt_consolidation,OWN,0.183,0
28,50055.6,1.8,663,13776.98,48,18270.56,1,small_business,RENT,0.64,0
45,35503.15,6.0,704,20060.15,12,9724.88,2,debt_consolidation,MORTGAGE,0.839,0
24,53173.26,0.9,710,22434.99,36,2675.51,2,home_improvement,RENT,0.472,0
35,65615.53,9.4,702,26675.24,24,0.0,2,debt_consolidation,RENT,0.407,0
51,51361.22,3.6,492,25713.03,48,6105.45,1,auto,OWN,0.62,1
29,43289.13,4.5,695,9245.35,12,3966.91,2,auto,MORTGAGE,0.305,0
35,78197.5,6.1,608,21450.35,48,3535.76,3,debt_consolidation,MORTGAGE,0.32,0
40,34964.52,2.3,644,13793.41,48,0.0,1,home_improvement,MORTGAGE,0.394,0
24,85105.28,1.5,701,8398.11,12,7511.69,2,debt_consolidation,MORTGAGE,0.187,0
61,68129.22,4.2,419,23019.63,24,17555.59,5,debt_consolidation,MORTGAGE,0.596,1
40,49756.56,0.4,617,8393.01,60,21694.05,3,education,MORTGAGE,0.605,0
29,36772.66,2.7,542,27049.0,36,14579.68,6,education,RENT,1.132,0
60,46052.09,6.1,703,3438.24,36,8913.92,5,debt_consolidation,MORTGAGE,0.268,0
26,21102.55,1.4,622,16122.36,24,10983.4,2,home_improvement,MORTGAGE,1.284,1
28,57466.31,2.1,681,24726.48,12,12918.61,5,debt_consolidation,MORTGAGE,0.655,1
26,35460.75,2.2,674,20107.62,48,18180.75,3,debt_consolidation,RENT,1.08,1
55,36217.8,6.6,675,32451.29,24,7385.12,3,education,RENT,1.1,0
43,12000.0,4.0,709,24868.89,48,3393.57,4,medical,RENT,2.355,0
40,86174.45,0.1,605,26301.9,24,7501.37,1,home_improvement,RENT,0.392,0
22,58888.61,1.9,629,13372.5,36,2570.29,5,home_improvement,MORTGAGE,0.271,0
45,75557.41,3.9,713,13934.26,36,5503.76,3,debt_consolidation,RENT,0.257,0
35,64914.42,4.6,667,2086.65,48,3361.4,7,medical,MORTGAGE,0.084,0
45,48514.86,9.3,494,39124.58,48,7458.65,4,small_business,OWN,0.96,1
62,86823.09,4.6,505,29419.9,48,12439.52,1,home_improvement,MORTGAGE,0.482,1
44,39865.38,0.3,519,24883.77,48,0.0,4,debt_consolidation,RENT,0.624,0
35,34155.17,0.0,663,23626.79,60,14977.27,6,medical,RENT,1.13,0
59,86085.88,1.0,655,11719.91,48,8296.38,6,auto,MORTGAGE,0.233,0
35,27868.09,0.2,678,14451.62,36,0.0,4,debt_consolidation,RENT,0.519,0
57,87604.49,6.4,741,26754.55,60,13223.21,3,home_improvement,RENT,0.456,0
35,95959.73,4.2,610,1393.92,36,6182.43,2,education,MORTGAGE,0.079,0
45,77979.31,1.0,731,17061.85,48,6236.27,5,debt_consolidation,RENT,0.299,0
38,60028.68,5.2,578,41876.96,48,5902.22,2,home_improvement,RENT,0.796,1
35,39952.89,4.0,590,15418.76,24,1914.71,6,debt_consolidation,RENT,0.434,0
54,53355.63,1.0,775,19058.98,36,5170.55,6,home_improvement,MORTGAGE,0.454,0
43,81879.61,15.2,682,20571.87,24,15858.88,4,small_business,RENT,0.445,0
52,45702.06,0.7,738,13812.2,12,13411.96,4,home_improvement,MORTGAGE,0.596,0
49,51697.71,1.0,690,31496.55,48,5737.92,5,home_improvement,MORTGAGE,0.72,0
29,39848.21,0.7,508,17882.29,24,6490.52,4,debt_consolidation,MORTGAGE,0.612,1
30,51899.59,0.9,694,14479.55,24,19760.05,2,auto,OWN,0.66,0
32,75086.0,0.8,623,23452.43,12,4349.24,1,debt_consolidation,RENT,0.37,1
46,99393.98,6.1,555,23445.74,36,2533.26,5,education,RENT,0.261,1
34,31282.63,7.2,620,26332.63,36,9375.91,10,small_business,OWN,1.141,1
28,41320.0,5.5,583,13429.64,36,9308.56,6,auto,RENT,0.55,0
26,59795.94,9.3,523,12663.13,36,7788.22,3,debt_consolidation,RENT,0.342,1
26,66507.74,2.9,660,19126.99,48,16338.76,4,debt_consolidation,RENT,0.533,0
52,,4.0,580,14921.39,48,12325.06,5,home_improvement,OWN,0.38,0
53,29259.61,5.0,624,29180.44,60,15359.96,7,auto,OWN,1.522,0
58,89718.35,3.8,567,26917.67,12,16792.58,2,debt_consolidation,MORTGAGE,0.487,0
28,43235.87,2.5,562,16469.57,12,10983.32,4,education,RENT,0.635,1
64,66461.3,4.4,704,17917.6,48,8754.86,5,auto,RENT,0.401,0
25,40113.24,8.7,711,13559.62,24,13922.45,5,medical,OWN,0.685,0
54,61945.96,2.9,617,15218.16,60,7922.98,3,education,RENT,0.374,0
37,59661.33,0.7,526,19558.1,36,12818.36,5,education,MORTGAGE,0.543,1
30,88576.1,0.4,648,15510.03,36,2949.36,3,auto,RENT,0.208,0
48,30831.88,3.2,713,7914.07,36,3029.5,3,debt_consolidation,OWN,0.355,0
50,72449.73,0.8,718,16138.28,36,11051.9,5,small_business,OWN,0.375,0
55,49489.7,20.2,723,12011.24,48,4861.76,5,auto,MORTGAGE,0.341,0
59,77514.48,5.7,600,22100.73,24,7419.01,3,medical,RENT,0.381,0
39,54118.05,2.3,752,15176.19,60,418.2,4,medical,MORTGAGE,0.288,0
