order_id,customer_id,order_date,order_status,shipping_city,shipping_state,payment_method
1,601,2025-12-04,Delivered,Jaipur,Rajasthan,Cash on Delivery
2,482,2025-09-04,Delivered,Bengaluru,Karnataka,Net Banking
3,466,2025-11-10,Delivered,Kochi,Kerala,Credit Card
4,567,2025-03-10,Delivered,Nagpur,Maharashtra,UPI
5,258,2025-11-03,Delivered,Kochi,Kerala,Debit Card
6,135,2025-03-29,Delivered,Ahmedabad,Gujarat,Credit Card
7,521,2025-09-16,Cancelled,Nagpur,Maharashtra,Cash on Delivery
8,69,2025-11-29,Delivered,Jaipur,Rajasthan,Credit Card
9,384,2025-12-16,Delivered,Bengaluru,Karnataka,Cash on Delivery
10,77,2025-07-05,Delivered,Bengaluru,Karnataka,Cash on Delivery
11,360,2025-12-28,Delivered,Nagpur,Maharashtra,Credit Card
12,296,2025-12-17,Cancelled,Kochi,Kerala,Credit Card
13,205,2025-07-25,Delivered,Kolkata,West Bengal,Credit Card
14,177,2025-07-04,Delivered,Ahmedabad,Gujarat,Debit Card
15,466,2025-09-23,Delivered,Kochi,Kerala,Debit Card
16,592,2025-05-22,Delivered,Bengaluru,Karnataka,UPI
17,26,2025-12-03,Delivered,Jaipur,Rajasthan,Credit Card
18,88,2025-11-21,Delivered,Mumbai,Maharashtra,Debit Card
19,22,2025-12-16,Cancelled,Delhi,Delhi,Credit Card
20,431,2025-10-22,Delivered,Jaipur,Rajasthan,Credit Card
21,366,2025-01-07,Delivered,Lucknow,Uttar Pradesh,Debit Card
22,67,2025-08-19,Delivered,Kochi,Kerala,UPI
23,656,2025-03-18,Delivered,Lucknow,Uttar Pradesh,Credit Card
24,192,2025-06-03,Delivered,Kolkata,West Bengal,Credit Card
25,451,2025-02-19,Delivered,Nagpur,Maharashtra,Debit Card
26,456,2025-05-26,Delivered,Bengaluru,Karnataka,Cash on Delivery
27,564,2025-05-30,Delivered,Ahmedabad,Gujarat,Debit Card
28,12,2025-11-07,Delivered,Pune,Maharashtra,UPI
29,565,2025-10-04,Delivered,Jaipur,Rajasthan,Net Banking
30,653,2025-05-14,Delivered,Kochi,Kerala,Credit Card
31,171,2025-09-09,Delivered,Ahmedabad,Gujarat,Cash on Delivery
32,440,2025-07-13,Delivered,Bengaluru,Karnataka,Cash on Delivery
33,27,2025-12-18,Cancelled,Kolkata,West Bengal,Debit Card
34,3,2025-11-29,Cancelled,Nagpur,Maharashtra,Debit Card
35,560,2025-01-29,Delivered,Mumbai,Maharashtra,Debit Card
36,150,2025-04-17,Delivered,Pune,Maharashtra,UPI
37,364,2025-11-08,Cancelled,Lucknow,Uttar Pradesh,Net Banking
38,681,2025-12-26,Delivered,Hyderabad,Telangana,Debit Card
39,627,2025-04-09,Delivered,Mumbai,Maharashtra,Net Banking
40,115,2025-03-24,Delivered,Hyderabad,Telangana,Cash on Delivery
41,519,2025-12-25,Returned,Chennai,Tamil Nadu,Credit Card
42,596,2025-02-04,Cancelled,Chennai,Tamil Nadu,Net Banking
43,699,2025-11-15,Delivered,Delhi,Delhi,Credit Card
44,405,2025-07-04,Returned,Ahmedabad,Gujarat,Cash on Delivery
